Acad_ID,Stud-Sch,Stud-ID,Entry_yr,Acad-Yr-G11-EC,Acad-Yr-G11,Cycle,Grade-Section-G11,Study-Area,Tig-Sem1-G11,Amh-Sem1-G11,Eng-Sem1-G11,Math-Sem1-G11,Bio-Sem1-G11,Chem-Sem1-G11,Phy-Sem1-G11,Civic-Sem1-G11,IT-Sem1-G11,Tech-Dr-Sem1-G11,Geo-Sem1-G11,His-Sem1-G11,Eco-Sem1-G11,Buss-Sem1-G11,Phy-Edu-Sem1-G11,Conduct-Sem1-G11,Tig-Sem2-G11,Amh-Sem2-G11,Eng-Sem2-G11,Math-Sem2-G11,Bio-Sem2-G11,Chem-Sem2-G11,Phy-Sem2-G11,Civic-Sem2-G11,IT-Sem2-G11,Tech-Dr-Sem2-G11,Geo-Sem2-G11,His-Sem2-G11,Eco-Sem2-G11,Buss-Sem2-G11,Phy-Edu-Sem2-G11,Conduct-Sem2-G11,Acad-Yr-G12,Acad-Yr-G12-EC,Grade-Section-G12,Tig-Sem1-G12,Amh-Sem1-G12,Eng-Sem1-G12,Math-Sem1-G12,Bio-Sem1-G12,Chem-Sem1-G12,Phy-Sem1-G12,Civic-Sem1-G12,IT-Sem1-G12,Tech-Dr-Sem1-G12,Geo-Sem1-G12,His-Sem1-G12,Eco-Sem1-G12,Buss-Sem1-G12,Phy-Edu-Sem1-G12,Conduct-Sem1-G12,Tig-Sem2-G12,Amh-Sem2-G12,Eng-Sem2-G12,Math-Sem2-G12,Bio-Sem2-G12,Chem-Sem2-G12,Phy-Sem2-G12,Civic-Sem2-G12,IT-Sem2-G12,Tech-Dr-Sem2-G12,Geo-Sem2-G12,His-Sem2-G12,Eco-Sem2-G12,Buss-Sem2-G12,Phy-Edu-Sem2-G12,Conduct-Sem2-G12,Amharic-ESLCE,English-ESLCE,Maths-ESLCE,Aptitude-ESLCE,Physics-ESLCE,Chemistry-ESLCE,Bilology-ESLCE,Civics-ESLCE,Geography-ESLCE,History -ESLCE,Econ-ESLCE,Tigrigna -ESLCE,ESLCE-Cumm,ESLCE-CummOf7,Status-G12-ESLCE
464,Masho,11C55/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,77,57,54,68,66,55,77,59,82,,,,,72,A,,74,68,63,74,69,56,78,70,75,,,,,83,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Masho,11C43/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,71,58,60,74,67,62,74,53,54,,,,,66,A,,62,68,57,80,70,45,82,79,65,,,,,71,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Masho,11C53/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,92,90,98,94,93,98,95,89,73,,,,,87,A,,81,84,95,90,95,92,94,90,88,,,,,82,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Masho,11C51/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,90,81,78,93,91,72,83,72,81,,,,,85,A,,86,76,80,82,75,71,86,78,90,,,,,73,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Masho,11C50/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,60,53,47,79,72,50,81,48,60,,,,,66,A,,73,71,77,77,74,52,73,76,67,,,,,59,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Masho,11C49/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,84,83,88,89,86,76,85,77,77,,,,,85,A,,88,69,88,87,77,79,88,70,84,,,,,71,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Masho,11C48/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,90,78,96,88,88,82,96,79,83,,,,,80,A,,95,75,91,89,84,73,88,82,80,,,,,80,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Masho,11C47/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,87,83,83,94,92,75,94,75,77,,,,,89,A,,89,78,83,97,80,77,86,81,76,,,,,79,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Masho,11C46/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,63,73,44,87,76,59,72,43,80,,,,,79,A,,56,71,51,92,81,36,66,85,70,,,,,72,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Masho,11C45/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,77,64,70,72,79,52,63,57,65,,,,,67,A,,70,67,62,82,77,59,65,80,76,,,,,71,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Masho,11C5/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,81,69,76,78,81,65,77,70,66,,,,,80,A,,79,64,78,76,70,78,74,75,77,,,,,71,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Masho,11C21/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,88,76,93,96,95,89,80,87,88,,,,,87,A,,86,77,79,92,83,82,94,86,88,,,,,80,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Masho,11C2/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,71,54,37,63,66,55,78,51,83,,,,,70,A,,76,60,57,71,65,63,63,75,68,,,,,67,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Masho,11C61/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,79,72,50,86,69,60,81,62,77,,,,,74,A,,73,68,63,86,73,54,73,79,76,,,,,76,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Masho,11C4/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,79,67,57,77,76,60,72,57,77,,,,,71,A,,75,60,80,74,80,62,85,56,73,,,,,66,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Masho,11C6/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,82,74,66,78,81,59,78,76,74,,,,,78,A,,80,79,61,76,71,59,82,76,65,,,,,64,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Masho,11C7/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,62,63,64,62,75,57,63,43,78,,,,,72,A,,64,59,63,64,59,62,67,76,55,,,,,62,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Masho,11C8/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,76,72,54,66,70,55,63,55,47,,,,,77,A,,55,77,63,85,70,47,79,69,62,,,,,60,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Masho,11C9/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,72,69,64,82,74,66,76,59,62,,,,,73,A,,72,65,64,83,78,43,60,61,63,,,,,66,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Masho,11C16/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,84,62,67,72,82,64,68,66,73,,,,,78,A,,76,69,84,80,68,53,68,73,85,,,,,71,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Masho,11C17/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,77,72,59,70,79,72,55,58,80,,,,,77,A,,73,68,66,74,71,63,83,74,85,,,,,74,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Masho,11C18/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,72,71,56,40,72,60,55,66,78,,,,,64,A,,76,74,66,88,82,59,81,75,70,,,,,77,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Masho,11C19/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,90,71,80,76,75,66,75,60,80,,,,,83,A,,86,73,67,90,62,60,86,73,60,,,,,79,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Masho,11C13/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,73,66,61,83,75,78,62,57,83,,,,,78,A,,70,68,69,80,73,56,77,71,67,,,,,80,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Masho,11C20/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,80,74,81,78,79,63,75,64,82,,,,,78,A,,83,78,76,84,77,60,72,64,77,,,,,79,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Masho,11C3/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,78,60,77,74,60,73,76,68,80,,,,,76,A,,68,60,68,91,66,54,82,80,65,,,,,63,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Masho,11D21/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,77,68,58,59,61,51,74,45,78,,,,,70,A,,63,51,55,53,24,49,52,74,50,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Masho,11D30/2004,,2004,9/14/11 00:00,,11d,NATURAL SCIENCE,,68,51,44,46,53,57,51,47,60,,,,,62,A,,52,54,55,74,72,38,71,74,62,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Masho,11D29/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,84,72,66,79,66,51,74,53,76,,,,,74,a,,78,53,62,82,59,52,79,67,53,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Masho,11D27/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,79,60,40,61,54,43,71,57,54,,,,,67,A,,69,59,51,59,73,45,68,78,50,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Masho,11D25/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,70,65,55,61,63,51,69,60,56,,,,,70,a,,67,56,59,86,55,46,65,70,50,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Masho,11D23/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,90,90,63,74,79,70,89,86,81,,,,,75,a,,91,76,71,99,80,70,83,76,70,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Masho,11D43/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,90,92,97,90,91,76,96,80,88,,,,,86,A,,88,82,90,95,97,90,90,82,93,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Masho,11D24/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,69,67,56,59,61,56,52,53,40,,,,,61,a,,58,68,61,74,69,44,64,76,42,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Masho,11D35/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,65,51,64,63,68,50,53,38,71,,,,,80,A,,81,51,77,89,73,65,75,71,69,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Masho,11D37/2004,,2004,9/14/11 00:00,,11D,NATURAL SCIENCE,,80,77,62,77,71,68,73,50,74,,,,,73,A,,78,69,77,82,69,70,74,68,69,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
